"id","captured_at","event_date","event_time","event_type","event_year","features","latitude","longitude","region_name","source_api"
"1","2026-01-01 03:24:10.182208+00","2025-12-27","2025-12-27 20:00:00+00","Floods",2025,"{""id"": ""EONET_16730"", ""link"": ""https://eonet.gsfc.nasa.gov/api/v3/events/EONET_16730"", ""title"": ""Flood in Australia 1103683"", ""closed"": ""2025-12-29T00:00:00Z"", ""sources"": [{""id"": ""GDACS"", ""url"": ""https://www.gdacs.org/report.aspx?eventtype=FL&eventid=1103683""}], ""geometry"": [{""date"": ""2025-12-27T20:00:00Z"", ""type"": ""Point"", ""coordinates"": [140.933684044475, -17.90756185], ""magnitudeUnit"": null, ""magnitudeValue"": null}], ""categories"": [{""id"": ""floods"", ""title"": ""Floods""}], ""description"": null}","-17.90756185","140.933684044475","Flood in Australia 1103683","NASA_EONET"
"2","2026-01-01 03:24:10.939694+00","2025-12-27","2025-12-27 20:00:00+00","Floods",2025,"{""id"": ""EONET_16731"", ""link"": ""https://eonet.gsfc.nasa.gov/api/v3/events/EONET_16731"", ""title"": ""Flood in Peru 1103686"", ""closed"": ""2025-12-29T00:00:00Z"", ""sources"": [{""id"": ""GDACS"", ""url"": ""https://www.gdacs.org/report.aspx?eventtype=FL&eventid=1103686""}], ""geometry"": [{""date"": ""2025-12-27T20:00:00Z"", ""type"": ""Point"", ""coordinates"": [-71.375039, -10.3282055], ""magnitudeUnit"": null, ""magnitudeValue"": null}], ""categories"": [{""id"": ""floods"", ""title"": ""Floods""}], ""description"": null}","-10.3282055","-71.375039","Flood in Peru 1103686","NASA_EONET"
"3","2026-01-01 03:24:10.950246+00","2025-12-27","2025-12-27 19:00:00+00","Wildfires",2025,"{""id"": ""EONET_16703"", ""link"": ""https://eonet.gsfc.nasa.gov/api/v3/events/EONET_16703"", ""title"": ""Wildfire in Sudan 1026510"", ""closed"": ""2025-12-27T00:00:00Z"", ""sources"": [{""id"": ""GDACS"", ""url"": ""https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1026510""}], ""geometry"": [{""date"": ""2025-12-27T19:00:00Z"", ""type"": ""Point"", ""coordinates"": [32.06022263012279, 7.74649991490075], ""magnitudeUnit"": ""hectare"", ""magnitudeValue"": 5569.0}], ""categories"": [{""id"": ""wildfires"", ""title"": ""Wildfires""}], ""description"": null}","7.74649991490075","32.06022263012279","Wildfire in Sudan 1026510","NASA_EONET"
"4","2026-01-01 03:24:10.960364+00","2025-12-27","2025-12-27 19:00:00+00","Wildfires",2025,"{""id"": ""EONET_16704"", ""link"": ""https://eonet.gsfc.nasa.gov/api/v3/events/EONET_16704"", ""title"": ""Wildfire in Sudan 1026511"", ""closed"": ""2025-12-27T00:00:00Z"", ""sources"": [{""id"": ""GDACS"", ""url"": ""https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1026511""}], ""geometry"": [{""date"": ""2025-12-27T19:00:00Z"", ""type"": ""Point"", ""coordinates"": [32.236439750837505, 8.364877815205393], ""magnitudeUnit"": ""hectare"", ""magnitudeValue"": 5867.0}], ""categories"": [{""id"": ""wildfires"", ""title"": ""Wildfires""}], ""description"": null}","8.364877815205393","32.236439750837505","Wildfire in Sudan 1026511","NASA_EONET"
"5","2026-01-01 03:24:10.971391+00","2025-12-27","2025-12-27 19:00:00+00","Wildfires",2025,"{""id"": ""EONET_16722"", ""link"": ""https://eonet.gsfc.nasa.gov/api/v3/events/EONET_16722"", ""title"": ""Wildfire in Australia 1026528"", ""closed"": ""2025-12-29T00:00:00Z"", ""sources"": [{""id"": ""GDACS"", ""url"": ""https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1026528""}], ""geometry"": [{""date"": ""2025-12-27T19:00:00Z"", ""type"": ""Point"", ""coordinates"": [121.39648662272347, -20.921686019948755], ""magnitudeUnit"": ""hectare"", ""magnitudeValue"": 5239.0}], ""categories"": [{""id"": ""wildfires"", ""title"": ""Wildfires""}], ""description"": null}","-20.921686019948755","121.39648662272347","Wildfire in Australia 1026528","NASA_EONET"
"6","2026-01-01 03:24:10.981487+00","2025-12-27","2025-12-27 19:00:00+00","Wildfires",2025,"{""id"": ""EONET_16733"", ""link"": ""https://eonet.gsfc.nasa.gov/api/v3/events/EONET_16733"", ""title"": ""Wildfire in Cote d&#039;Ivoire 1026537"", ""closed"": ""2025-12-29T00:00:00Z"", ""sources"": [{""id"": ""GDACS"", ""url"": ""https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1026537""}], ""geometry"": [{""date"": ""2025-12-27T19:00:00Z"", ""type"": ""Point"", ""coordinates"": [-3.9629983011418566, 8.930434661121796], ""magnitudeUnit"": ""hectare"", ""magnitudeValue"": 5517.0}], ""categories"": [{""id"": ""wildfires"", ""title"": ""Wildfires""}], ""description"": null}","8.930434661121796","-3.9629983011418566","Wildfire in Cote d&#039;Ivoire 1026537","NASA_EONET"
"7","2026-01-01 03:24:10.991612+00","2025-12-26","2025-12-26 20:00:00+00","Floods",2025,"{""id"": ""EONET_16720"", ""link"": ""https://eonet.gsfc.nasa.gov/api/v3/events/EONET_16720"", ""title"": ""Flood in Spain 1103681"", ""closed"": ""2025-12-28T00:00:00Z"", ""sources"": [{""id"": ""GDACS"", ""url"": ""https://www.gdacs.org/report.aspx?eventtype=FL&eventid=1103681""}], ""geometry"": [{""date"": ""2025-12-26T20:00:00Z"", ""type"": ""Point"", ""coordinates"": [-0.4765326, 39.08528], ""magnitudeUnit"": null, ""magnitudeValue"": null}], ""categories"": [{""id"": ""floods"", ""title"": ""Floods""}], ""description"": null}","39.08528","-0.4765326","Flood in Spain 1103681","NASA_EONET"
"8","2026-01-01 03:24:11.003137+00","2025-12-26","2025-12-26 20:00:00+00","Floods",2025,"{""id"": ""EONET_16732"", ""link"": ""https://eonet.gsfc.nasa.gov/api/v3/events/EONET_16732"", ""title"": ""Flood in Jordan 1103682"", ""closed"": ""2025-12-28T00:00:00Z"", ""sources"": [{""id"": ""GDACS"", ""url"": ""https://www.gdacs.org/report.aspx?eventtype=FL&eventid=1103682""}], ""geometry"": [{""date"": ""2025-12-26T20:00:00Z"", ""type"": ""Point"", ""coordinates"": [35.8896803020113, 32.278448], ""magnitudeUnit"": null, ""magnitudeValue"": null}], ""categories"": [{""id"": ""floods"", ""title"": ""Floods""}], ""description"": null}","32.278448","35.8896803020113","Flood in Jordan 1103682","NASA_EONET"
"9","2026-01-01 03:24:11.014047+00","2025-12-26","2025-12-26 19:00:00+00","Wildfires",2025,"{""id"": ""EONET_16673"", ""link"": ""https://eonet.gsfc.nasa.gov/api/v3/events/EONET_16673"", ""title"": ""Wildfire in Sudan 1026480"", ""closed"": ""2025-12-26T00:00:00Z"", ""sources"": [{""id"": ""GDACS"", ""url"": ""https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1026480""}], ""geometry"": [{""date"": ""2025-12-26T19:00:00Z"", ""type"": ""Point"", ""coordinates"": [32.1879217107083, 6.1851182350606075], ""magnitudeUnit"": ""hectare"", ""magnitudeValue"": 7306.0}], ""categories"": [{""id"": ""wildfires"", ""title"": ""Wildfires""}], ""description"": null}","6.1851182350606075","32.1879217107083","Wildfire in Sudan 1026480","NASA_EONET"
"10","2026-01-01 03:24:11.024314+00","2025-12-26","2025-12-26 19:00:00+00","Wildfires",2025,"{""id"": ""EONET_16674"", ""link"": ""https://eonet.gsfc.nasa.gov/api/v3/events/EONET_16674"", ""title"": ""Wildfire in Argentina 1026503"", ""closed"": ""2025-12-27T00:00:00Z"", ""sources"": [{""id"": ""GDACS"", ""url"": ""https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1026503""}], ""geometry"": [{""date"": ""2025-12-26T19:00:00Z"", ""type"": ""Point"", ""coordinates"": [-66.25407652567152, -35.43211840089205], ""magnitudeUnit"": ""hectare"", ""magnitudeValue"": 5472.0}], ""categories"": [{""id"": ""wildfires"", ""title"": ""Wildfires""}], ""description"": null}","-35.43211840089205","-66.25407652567152","Wildfire in Argentina 1026503","NASA_EONET"
